Name,IDA Count,INVA Count,AND2 Count,OR2 Count,XOR2 Count,NAND2 Count,NOR2 Count,XNOR2 Count,Count of Used Gates,Compressed Chr Size,a XOR b XOR c XOR d Count,(a AND b) XOR (c AND d) Count,Variability of Implementation of the Highest Bit of Product,"[Sum of All Gates, Sum of Used Gates by CGP]"
mult8_cgp14ep_ep13107_wc2048_wtmcla,22,9,187,68,113,4,8,12,423,2917,74,42,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 423]"
mult8_cgp14ep_ep13107_wc20512_wtmcla,29,13,182,68,109,7,5,9,422,2899,72,42,"[0, 0, 3, 3, 4, 0, 0, 0]","[490, 422]"
mult8_cgp14ep_ep13107_wc20608_wtmcla,17,12,186,68,110,5,19,13,430,2899,74,40,"[0, 0, 10, 6, 1, 0, 0, 0]","[490, 430]"
mult8_cgp14ep_ep13107_wc20_wtmcla,20,6,196,73,108,8,4,6,421,2900,76,40,"[0, 0, 10, 1, 5, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep13107_wc21632_wtmcla,23,10,187,62,113,12,9,11,427,2893,77,38,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 427]"
mult8_cgp14ep_ep13107_wc21696_wtmcla,23,20,175,65,107,14,6,17,427,2906,72,38,"[0, 0, 11, 7, 1, 0, 0, 0]","[490, 427]"
mult8_cgp14ep_ep13107_wc21760_wtmcla,17,14,182,60,113,13,10,9,418,2912,76,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep13107_wc2176_wtmcla,23,8,187,62,112,10,11,8,421,2898,74,42,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 421]"
mult8_cgp14ep_ep13107_wc2180_wtmcla,23,13,185,70,114,7,10,7,429,2907,74,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 429]"
mult8_cgp14ep_ep13107_wc2240_wtmcla,18,10,182,63,114,12,4,16,419,2911,74,36,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 419]"
mult8_cgp14ep_ep13107_wc2242_wtmcla,19,12,183,66,111,8,16,15,430,2935,76,38,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 430]"
mult8_cgp14ep_ep13107_wc226_wtmcla,19,7,194,66,104,9,6,13,418,2903,72,36,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 418]"
mult8_cgp14ep_ep13107_wc22_2_wtmcla,13,12,188,69,113,7,7,11,420,2902,75,36,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 420]"
mult8_cgp14ep_ep13107_wc22_3_wtmcla,17,4,190,69,115,10,4,5,414,2893,77,34,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep13107_wc22_4_wtmcla,18,9,193,70,112,8,10,9,429,2921,81,36,"[0, 0, 10, 2, 5, 0, 0, 0]","[490, 429]"
mult8_cgp14ep_ep13107_wc22_wtmcla,18,5,184,66,110,15,6,2,406,2885,77,36,"[0, 0, 9, 5, 1, 0, 0, 0]","[490, 406]"
mult8_cgp14ep_ep13107_wc2304_wtmcla,26,11,185,65,111,11,8,6,423,2911,76,42,"[0, 0, 7, 1, 4, 0, 0, 0]","[490, 423]"
mult8_cgp14ep_ep13107_wc2306_wtmcla,18,16,183,67,114,8,11,7,424,2885,68,34,"[0, 0, 3, 4, 4, 0, 0, 0]","[490, 424]"
mult8_cgp14ep_ep13107_wc2308_wtmcla,15,18,184,66,107,11,9,15,425,2911,71,42,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 425]"
mult8_cgp14ep_ep13107_wc2312_wtmcla,19,7,188,62,102,13,17,6,414,2878,74,40,"[0, 0, 10, 1, 5, 0, 0, 0]","[490, 414]"
mult8_cgp14ep_ep13107_wc2320_wtmcla,18,12,187,64,114,8,17,5,425,2886,76,42,"[0, 0, 10, 5, 1, 0, 0, 0]","[490, 425]"
mult8_cgp14ep_ep13107_wc2336_wtmcla,18,11,190,63,105,8,13,15,423,2915,68,42,"[0, 0, 7, 5, 1, 0, 0, 0]","[490, 423]"
mult8_cgp14ep_ep13107_wc2436_wtmcla,23,7,184,63,111,12,5,11,416,2917,73,40,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 416]"
mult8_cgp14ep_ep13107_wc2440_wtmcla,25,10,183,59,112,10,11,12,422,2910,74,36,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 422]"
mult8_cgp14ep_ep13107_wc244_2_wtmcla,19,14,182,72,111,8,5,6,417,2898,70,40,"[0, 0, 9, 4, 1, 0, 0, 0]","[490, 417]"
mult8_cgp14ep_ep13107_wc244_wtmcla,25,9,186,62,106,9,11,7,415,2903,68,38,"[0, 0, 7, 4, 1, 0, 0, 0]","[490, 415]"
mult8_cgp14ep_ep13107_wc24704_wtmcla,29,8,177,66,117,11,8,12,428,2877,74,40,"[0, 0, 12, 9, 0, 0, 0, 0]","[490, 428]"
mult8_cgp14ep_ep13107_wc24736_wtmcla,26,15,174,61,112,13,13,14,428,2924,72,40,"[0, 0, 12, 8, 1, 0, 0, 0]","[490, 428]"
mult8_cgp14ep_ep13107_wc248_wtmcla,15,7,192,72,108,9,8,12,423,2906,71,38,"[0, 0, 10, 2, 5, 0, 0, 0]","[490, 423]"
